,number,value,datetime_start,datetime_complete,duration,params_beta,params_f_cross_layer,params_hi5_cin_fn_k,params_hi5_dur_cin_par1,params_hi5_rel_beta,params_hpv16_cin_fn_k,params_hpv16_dur_cin_par1,params_hpv18_cin_fn_k,params_hpv18_dur_cin_par1,params_m_cross_layer,params_ohr_cin_fn_k,params_ohr_dur_cin_par1,params_ohr_rel_beta,state
919,919,33.26057458,50:09.7,56:57.2,0 days 00:06:47.531360,0.298161972,0.663882339,0.028301768,1.553051756,0.794241591,0.228401127,6.563101216,0.908004707,3.106693896,0.367564915,0.000827911,2.135383591,0.724211911,COMPLETE
1749,1749,33.26884048,07:51.0,13:55.0,0 days 00:06:04.026421,0.46636845,0.047590105,0.018521753,8.153044087,0.883713909,0.266603956,6.271709166,0.320011044,4.479384388,0.429033933,0.050247539,1.212514424,0.272208802,COMPLETE
1376,1376,33.28166033,43:26.8,49:23.6,0 days 00:05:56.804867,0.214991573,0.292332622,0.085682603,1.013110287,0.93327826,0.315336488,4.985533127,0.718133808,3.165906989,0.693400862,0.08816732,4.98813374,0.391564171,COMPLETE
1378,1378,33.3001374,47:08.0,53:02.4,0 days 00:05:54.425471,0.195643135,0.287368309,0.08948386,1.414582038,0.939394044,0.324726319,5.109645577,0.515611155,3.218867493,0.550261087,0.160130604,4.937438765,0.254820974,COMPLETE
1483,1483,33.30391385,51:18.4,57:13.7,0 days 00:05:55.288802,0.240693694,0.264886745,0.00102151,1.187528478,0.899078342,0.337105783,4.919118877,0.459425062,3.063709568,0.456882035,0.120286419,4.434625656,0.330688632,COMPLETE
52,52,33.3079815,04:48.2,11:21.2,0 days 00:06:32.949943,0.038599636,0.06322845,0.089173957,10.1987401,0.554982193,0.697312625,4.223977462,0.648401232,1.829190712,0.424762692,0.224568556,5.697213454,0.598121744,COMPLETE
1669,1669,33.30899026,33:06.0,39:00.9,0 days 00:05:54.851201,0.260892648,0.118898579,0.03984202,6.701296342,0.886844993,0.250671106,6.327341554,0.389965281,3.925297283,0.456042525,0.055131526,4.439149688,0.225979218,COMPLETE
1365,1365,33.32624468,31:03.3,36:53.2,0 days 00:05:49.881733,0.13318299,0.13793097,0.036450093,1.008475299,0.913602259,0.268562899,5.704089846,0.451806695,5.547291448,0.479540869,0.141159324,4.203052597,0.218946705,COMPLETE
1424,1424,33.32641186,40:33.0,46:26.8,0 days 00:05:53.805076,0.263579246,0.271767546,0.064284459,2.00101,0.936005565,0.28442795,5.067305716,0.415717577,3.023845299,0.470482931,0.218052034,4.475331712,0.318914785,COMPLETE
1402,1402,33.33461073,16:17.4,22:14.1,0 days 00:05:56.741015,0.238216433,0.304828149,0.041443075,2.193843347,0.923192516,0.343466117,4.955835856,0.464291348,2.60271072,0.619294145,0.176235385,4.352549393,0.251148953,COMPLETE
1678,1678,33.3400134,44:39.1,50:38.4,0 days 00:05:59.315648,0.269208098,0.101968801,0.017801848,7.62853182,0.473425797,0.232249942,6.381418713,0.468959713,3.685316492,0.536371318,0.040620206,4.181150377,0.262332857,COMPLETE
1299,1299,33.34604807,12:33.1,18:25.2,0 days 00:05:52.112212,0.201596553,0.238079497,0.000476738,1.435952769,0.99818011,0.381296943,4.531326991,0.749832342,2.026235286,0.544722673,0.150195911,4.012738798,0.331453762,COMPLETE
1443,1443,33.35828267,04:01.6,09:57.4,0 days 00:05:55.795269,0.201598884,0.30165806,0.000384145,1.702007449,0.408252154,0.306914372,4.72434566,0.415298236,3.48484015,0.501981102,0.173993879,4.324694688,0.291889883,COMPLETE
1569,1569,33.35994478,32:01.3,38:03.1,0 days 00:06:01.736801,0.492889016,0.516405179,0.04967496,2.031450543,0.94097924,0.2997081,4.922597339,0.490369942,3.857394257,0.593118461,0.077475809,4.754514299,0.302059922,COMPLETE
1661,1661,33.37375247,24:46.4,30:42.5,0 days 00:05:56.141283,0.280235082,0.15641924,0.019406395,7.341466746,0.83652789,0.231466573,6.001912375,0.423975335,4.41285836,0.494554593,0.019449965,4.843755777,0.244439036,COMPLETE
1460,1460,33.37629746,23:37.5,29:27.0,0 days 00:05:49.471215,0.181922518,0.209648204,0.07554512,1.292321229,0.962174973,0.32877657,4.884670504,0.266115719,2.307482216,0.488783764,0.139600894,3.77605436,0.395885864,COMPLETE
1533,1533,33.37666529,50:20.5,56:10.1,0 days 00:05:49.552866,0.159986531,0.272212912,0.072300044,1.514036377,0.386103352,0.344215594,5.885447982,0.543530878,3.181083667,0.542752138,0.124552919,4.446522294,0.347509395,COMPLETE
1747,1747,33.37783802,06:30.9,12:31.4,0 days 00:06:00.438753,0.468299695,0.081175615,0.00041481,7.062246478,0.874759429,0.271299557,6.337000677,0.297595797,4.56929556,0.455324749,0.071627561,1.275745557,0.290231446,COMPLETE
