,index,mismatch,hpv16_cin_fn_k,hpv16_dur_cin_par1,hpv18_cin_fn_k,hpv18_dur_cin_par1,hi5_cin_fn_k,hi5_dur_cin_par1,hi5_rel_beta,ohr_cin_fn_k,ohr_dur_cin_par1,ohr_rel_beta,beta,f_cross_layer,m_cross_layer
679,679,32.10210879425125,0.7620103289420785,2.3255216777454866,0.5578170914618477,2.5122373462187264,0.392666080148149,1.5385982648650391,0.5764772718224623,0.2557435141037223,1.7110576006963878,0.23578896488102624,0.44753783129940855,0.9150226660096292,0.3249008875582935
742,742,32.11091348908405,0.9659955152541545,1.7950996704182103,0.609239025616327,1.6302365932603986,0.49066571762641537,1.262232979205089,0.5412325350597025,0.31629428889489564,1.252098916078339,0.20471345181122907,0.4139444546757547,0.7818876999402198,0.27208340959273425
416,416,32.128854082956245,0.7238214579284041,1.5313897969557888,0.6282095383024158,2.2436285175058477,0.35896574381717977,2.8672181352261834,0.6469528477715779,0.2273443932880313,1.5062581606434686,0.4959596623726808,0.4927656315574964,0.5275705107703751,0.03988139496196404
747,747,32.130054871488355,0.9690969593455092,1.7195779038517875,0.6555527401437635,1.5518940507670118,0.49809387171500064,1.3304989951191386,0.5419841513689942,0.3491396081219711,1.000147403666436,0.25237154901216663,0.4103505382578901,0.8012185832813271,0.396612089061457
1432,1432,32.134275670627176,0.7971383679113543,2.1679146829885076,0.5372127543392781,3.2595802992502594,0.4061289098514701,2.018989572280456,0.5681292880645317,0.309093670647958,1.545798202514467,0.17764121948947076,0.4392754240842862,0.25540656590447963,0.06118809851510925
1679,1679,32.14045243736643,0.7267366472648071,1.5224186429174806,0.5749136755309343,3.0632677140588354,0.34418376169688814,3.037956059500549,0.3113911986125027,0.2458687917229711,2.353829262926445,0.24146522131333226,0.49979488945013006,0.9829159399813898,0.05028024884375171
818,818,32.14277096845172,1.1135991848947648,1.4940862987491,0.5803629666954512,1.4897449243165015,0.7247056802069867,0.7770596271699075,0.49430226517540676,0.2625138796466424,1.7279232159054936,0.850997959512896,0.4374416210494451,0.7901320822663701,0.3836316942237217
794,794,32.144912649541794,1.1194388546528622,1.664519550094243,0.5842723125875254,1.4257514054917826,0.5097269296628744,1.5859989558156669,0.49241648856603504,0.246255038792366,1.5320707702342489,0.7764315848297683,0.40405080209851113,0.8386752612487687,0.35015619281410215
920,920,32.14745431797452,1.4262902586524482,1.2911348238696823,0.5880764038787234,0.8741473196775409,0.6781668045344884,1.1181133303721362,0.4922924346857117,0.32164305810179195,1.4541096660877357,0.6784968793456465,0.37722842086759056,0.8179199308327589,0.3009353871362389
901,901,32.174273531672355,1.4746082370152818,1.317230574527995,0.6414455138167053,1.8239631752888752,0.7238120399890055,0.8734144440151219,0.5253183971959102,0.2388761567505076,1.6537295857375232,0.6408587832427012,0.38042995334238905,0.8158233109524743,0.29795805046684093
839,839,32.182095442469205,1.4441887132632705,1.3740431482889996,0.5984882447170028,1.232054052823724,0.7830149240663972,1.0233392368348533,0.49826589013481354,0.2797681309857476,1.5137318863126685,0.7547253307471258,0.4232566823692669,0.8287970057371514,0.33777472903420136
1278,1278,32.19923446778271,0.7722443986774511,2.154508733667,0.5746943798152874,1.3058863478307865,0.7034714712301718,1.1190068632429595,0.5215541657758389,0.2251786879066892,1.5031186149235531,0.184342434267011,0.46842846609883637,0.8709658548312428,0.011830262774613423
897,897,32.217565540861756,1.4937436492414642,1.294042360032681,0.6084553138544517,1.6750332667318983,0.659878318852313,0.7419947379672118,0.47585831322411415,0.20255489214206962,1.5576244485813175,0.6673745527087434,0.25079881142335847,0.8625272749196287,0.2584527662119737
872,872,32.21762040627453,1.3957916548896472,1.3941679840109904,0.6199765050802222,1.040566458074177,0.7372770279258366,1.3536248310974597,0.5199251139177051,0.2899893985845716,1.0029627315859606,0.7187060418221111,0.39720460514325073,0.8605913911131865,0.3100578874054593
1739,1739,32.24860054762387,1.3293109249134645,1.0745279233025615,0.4831204870474157,3.4841583848170803,0.383626298838136,2.3391830594088896,0.6786565068431434,0.15863688899948392,2.388284210168612,0.1447471658461519,0.4472529634777235,0.8855741920466826,0.13669379744221
158,158,32.26006498726784,0.9690195315236072,1.9518357964429072,0.0482829516948457,2.406608266339752,0.11788496918600089,3.2152517350880583,0.6158376025632102,0.2623035169496637,2.031925681234481,0.17196281905997024,0.4659364590898464,0.8958970436035553,0.04166020436149242
865,865,32.270891607771965,1.416806515034091,1.7422146333413258,0.57347236631759,1.1488231316541238,0.7171948957913069,1.1070467042201444,0.5084844787195114,0.2303577763026498,1.0069208477298321,0.6911526472581188,0.4068258955776012,0.8907692130469327,0.3094687100151452
1265,1265,32.27467102232055,1.1011823531969458,1.6056700002606286,0.5022718126704684,3.0457967579057095,0.4747602314528409,2.3513029140477992,0.5612223698283559,0.20156340570627793,2.2427686099326007,0.2354937869003604,0.4569625267164905,0.9728075266293996,0.04405013508819558
1330,1330,32.301455965754236,0.9100890803600339,1.4628151876841435,0.5460667844531351,2.8492320143430137,0.5322527426989908,1.8692601772727144,0.6544292908962785,0.21943394407014477,1.7010196347600104,0.5103376880418803,0.4729296257996919,0.9534815669671414,0.33059762359604505
821,821,32.30530400956864,1.3853051104266458,1.3944335655340478,0.5504694994704691,1.1110223513667716,0.6981501123684034,1.0866082988510526,0.4908166147479029,0.2605941392568449,1.7151876710086829,0.6919826326886259,0.4390384941476733,0.8607869517759311,0.377820298184861
966,966,32.305478003104874,1.3301683170603371,1.5549332335687667,0.5946016316082865,2.1897193454395354,0.7094020975278401,1.310097539300679,0.49098728076874,0.2879790924142677,1.8992962349225215,0.7654163128743365,0.4327947515037239,0.8441425208905536,0.21089509058121514
1823,1823,32.30737835990145,0.5736089015476751,1.603786086894318,0.4881659911009021,3.157010950668461,0.6411750686513361,1.8674543189669532,0.6881732733753676,0.17027104385294886,3.5776032609481856,0.13745506553417094,0.44544869908606155,0.9775382605664161,0.03396408263449134
1471,1471,32.31104582249988,1.017057282433998,1.7868625233602276,0.14328556733300118,2.6318432992179566,0.3302985994590317,2.272402381369689,0.6038567873809476,0.40147779363565467,1.5066978857236966,0.4013698347866128,0.4480430503515489,0.34439064139688663,0.04223095904138491
898,898,32.314909256858215,1.4684437180587768,1.3483516169294696,1.3806353627341603,1.6452497549203473,1.2165984226170434,0.7281666669621525,0.46433545303282275,0.20510636760808237,1.5722254969916727,0.641361021134585,0.3860872768484206,0.858651310369332,0.2588804726269246
745,745,32.3213173605356,1.0375140914575098,1.897671382445513,0.6392601577354383,1.6434767697375807,0.482266245705962,1.3895991186578147,0.6057293990764939,0.25222027319759616,1.0004710415549547,0.25203613520991486,0.4085900805964899,0.805308384842022,0.2947057367795348
1600,1600,32.32704403735184,0.7200344261283526,1.9114068932219275,0.5956944119678482,3.7644337294051646,0.35071821447826595,2.1372676005233426,0.6246322561565634,0.2209722372628748,2.9305549514671942,0.2151865622131152,0.49959113230811597,0.5282693178682026,0.9580856724419871
1196,1196,32.33877485980049,1.0780830592024515,1.7174655330584265,0.6440485485620472,1.7585189196876083,0.7300978273776706,1.4938157474738576,0.5275614742226566,0.2005121455017369,1.2570845710170224,0.6894124831963245,0.4945296453660177,0.9220401234330807,0.26664202524651215
1940,1940,32.34070536769754,1.2544529294045326,1.7224806773066705,0.3842874440486785,2.5014142940163593,0.40744197598471366,2.2396099005437775,0.7124972416921368,0.16175883306094285,1.7810384557846843,0.13914878484728016,0.4911566040728596,0.826456591698629,0.08878932457076122
799,799,32.34595159026819,1.212185851380854,1.2561554507518784,0.5481759988733977,1.2590263735575489,0.679759766172932,1.7375041129253723,0.48186390967828324,0.24451362816429917,1.8498559426891905,0.7534970723889804,0.4034096700845226,0.8435209019352107,0.3448240200352112
902,902,32.359516674767654,1.4910049477964653,1.7264017790303376,0.651806907300126,1.8954214939145329,0.7348508700996907,0.7658830202533559,0.46217429436494,0.1961477262822132,1.6042752477005098,0.6672951657317256,0.30460475166880385,0.8779702400635421,0.2505457188142906
1042,1042,32.36953908114724,1.44332525758139,1.8254093105865137,0.14238360194380845,1.511016646901031,0.6902712126462817,2.1828994765322287,0.41374519392038844,0.25793400290862534,1.5749764048741863,0.7202070980316497,0.07962261910158208,0.8881038014811629,0.10641947609304844
1445,1445,32.38120020664336,0.8124684929900312,2.4715341793892778,0.48336950065854434,3.455223927754491,0.453413833632356,2.4410571608620257,0.5935441382333515,0.12657684426952662,1.4528025013467154,0.20280346155216877,0.4280117215491382,0.41122772795673135,0.09462052061761062
